[-32.0481026, 116.00750806410974],	1
[-31.55264455, 115.64282481579346],	2
[-31.791755000000002, 115.79946773929777],	3
[-32.0613041, 115.8791906142475],	4
[-31.83879985, 115.81597149471983],	5
[-32.3454435, 115.75910134449911],	6
[-31.7574555, 115.81542917830579],	7
[-32.06612035, 115.96054507104706],	8
[-31.8877781, 116.04421069446397],	9
[-32.0854726, 115.98000869239492],	10
[-31.959339649999997, 115.80292249618961],	11
[-32.01236515, 115.94224149334605],	12
[-32.30351795, 115.74025880355309],	13
[-32.0460645, 115.87038682580008],	14
[-32.103784, 116.084561],	15
[-32.28483835, 115.73540632599689],	16
[-32.36021545, 115.82051592252137],	17
[-31.944268549999997, 115.83822723260467],	18
[-31.7586759, 115.73908374929383],	19
[-31.92143815, 115.86994933245143],	20
[-31.873747, 115.88372110662176],	21
[-31.677137350000002, 115.70606866337974],	22
[-32.04623905, 115.80547982008022],	23
[-32.04104605, 115.91711535180022],	24
[-32.0124634, 116.05152590979117],	25
[-32.074902699999996, 115.85645505676172],	26
[-32.109389, 115.845938],	27
[-31.7183408, 115.73172131051128],	28
[-31.87742875, 115.93558721146096],	29
[-31.98570015, 115.89285230327098],	30
[-32.12168585, 116.01142471414872],	31
[-31.97788295, 116.05752031205918],	32
[-31.90398345, 115.90082708533274],	33
[-32.0487347, 115.75682700898703],	34
[-32.128005599999995, 115.93411595428331],	35
[-31.890650549999997, 115.92694926728797],	36
[-32.1739394, 115.8497709],	37
[-31.826829150000002, 115.79144381956635],	38
[-31.888931200000002, 115.98861881124631],	39
[-31.83649085, 115.8420089584946],	40
[-32.2380709, 115.8152355638498],	41
[-32.06967485, 115.76782268719302],	42
[-31.785588150000002, 115.96430769722164],	43
[-31.874686, 116.220421],	44
[-31.82239935, 115.7677101533829],	45
[-31.8787163, 115.85489609523438],	46
[-31.9764102, 116.01079207733665],	47
[-32.0032643, 115.87128632997926],	48
[-32.415740549999995, 115.76298272441119],	49
[-31.67732015, 115.72640466907538],	50
[-31.9167871, 115.78955267255745],	51
[-32.14163715, 115.9924095087917],	52
[-31.85234295, 115.7759339247718],	53
[-32.013905550000004, 115.93699553498674],	54
[-32.0829018, 115.92312885438633],	55
[-32.22357675, 116.00190406099406],	56
[-31.652091, 115.708595],	57
[-31.6696327, 115.9979333],	58
[-31.9445234, 115.83228892527958],	59
[-31.77080415, 115.76305246057026],	60
[-31.9584329, 115.93384252749294],	61
[-31.8448263, 115.89353209025228],	62
[-31.852762, 115.84644694727552],	63
[-32.333662950000004, 115.82859821573416],	64
[-31.8748729, 115.81297059805215],	65
[-31.7681502, 115.987658128647],	66
[-32.14369705, 115.86415179318391],	67
[-31.811576, 115.8415063814722],	68
[-32.1615945, 116.01432078562098],	69
[-32.02906345, 115.8347602574295],	70
