,Airport_Dist,Airport_No,Highschool_Dist,Highschool_No,Primaryschool_dist,Primaryschool_No,UNI_Dist,UNI_No,Lake_Dist,Lake_No,Park_Dist,Park_No,Coast
8372,5.473087589481197,2,2.0521005303788735,14,0.6040375131980611,28,2.205627521236094,4,5.135686282472647,7,1.709810358985239,27,10.679933953400452
8373,17.967488643984634,2,2.3706344903202226,15,6.071263348366818,313,20.582059467879137,1,12.960582368727643,5,4.807607134645683,2,29.767499874404475
8374,8.322119023359614,2,0.9013621478463004,23,0.426973199180985,60,3.0923656631835694,4,4.767190189996668,7,2.6771698586535257,3,6.846989996424101
8375,11.960088246357978,2,1.0362736499251402,42,0.6164540797304255,30,1.721399530571154,3,7.071935097310339,7,0.8899501762630231,9,2.34921670025191
8376,11.49676793264899,1,0.6126304705546329,21,1.3969732820552,57,5.720083729815037,5,8.18434046118344,11,7.246612733662616,19,12.775137212096826
8377,19.29736048587542,1,2.835678297032529,51,0.21968788705307876,263,9.773149907250286,5,6.746709155690544,10,3.494555740319265,20,2.0869831746795997
8378,4.000245446095842,2,0.9947218122887257,26,0.48183340612756237,311,2.020161790516841,4,4.316370310706545,7,0.9126744246844526,8,10.760690166257856
8379,7.925989849231155,2,0.4030162538815568,8,0.2998526636259145,277,9.069712282668212,1,9.900369735591902,5,9.133929846542669,2,20.027180589111456
8380,31.671737094457068,1,2.0038723556740012,28,1.4199406713102032,86,24.0471647955606,5,4.909795562857011,14,3.6037159097973697,14,2.4851309569182574
8381,11.89993541448224,1,2.734624119947579,46,0.8259869254292995,292,2.6731973466860657,5,3.5607677304878966,10,4.229638764130032,19,9.695729445340048
8382,28.031113158143423,1,2.3109077667209252,19,0.3979369183089562,210,19.83357657399162,5,5.776705000746093,14,5.511133754557079,14,1.7109415043269762
8383,10.17413437789991,2,2.291248491497284,23,0.6943829636882171,14,5.099710102385576,2,3.7829110121423417,8,0.4853306619256152,3,6.467732829186654
8384,8.242278455116855,1,0.21325502700635682,54,1.6532178355136882,125,4.00226787659362,1,9.724273075930256,9,6.316154522690718,26,18.320774531134983
8385,2.7991966746378374,2,1.0895920210821866,4,0.7720539291646276,25,4.5699669348257945,4,6.1166317708523,7,3.3841645033569274,8,13.05732721848183
8386,37.09554830557683,1,1.4275073278597517,22,0.2922440610453095,202,29.69873538356955,5,6.544216576693539,16,8.063678504351154,14,2.027172486885079
8387,25.290951017830253,2,1.9470241550416916,16,0.8241652585064865,254,24.52009181489611,3,7.036181234227621,4,5.7344054670896,22,1.5265932043141333
8388,4.7982566373758875,2,1.42706985851051,35,0.624782149410454,240,10.031131504235251,4,4.2033891330553965,5,9.025513536862517,8,15.897284268071406
8389,10.123901133919798,1,1.4700001034648522,32,0.9243894681276409,118,15.40098205112194,1,14.600571508099687,11,11.59574534219709,17,29.557281160699524
8390,8.658473066351839,1,3.164632283950634,39,2.198368160578355,99,11.565476661965695,5,2.529350550920314,11,4.779228054890614,17,21.539368933158723
8391,7.475919501559862,1,2.8653971618644363,32,1.12793113546579,133,15.291951589714335,1,10.754450277305999,11,7.443735833455253,17,28.22369255658311
8392,4.4085566771823705,1,1.1364601626524053,61,1.0127002750695355,74,5.600289261783371,1,9.330143672271907,9,5.674361814303633,16,17.66948138364258
8393,17.602160190701767,1,2.280958561491435,51,0.4702173277450564,333,8.090243634855382,5,5.432755222802119,10,1.7583158954431537,20,3.909401666481766
8394,11.517503774205448,2,1.6780245331313683,1,0.6517903071741905,47,10.04980105089747,1,12.88838680089896,5,9.717671272394956,2,23.36287923270795
8395,9.225766264245701,2,3.415170492607142,42,0.5502352555088922,280,5.900873567298138,3,4.008319735379883,7,5.257406882470804,9,3.147364843814205
8396,13.334008402002087,1,0.5369797947242583,62,0.5535890885279586,23,9.043150476662074,5,6.158775481526565,13,9.719740577580033,20,14.107669018018003
8397,12.121278204116626,1,1.323308056110939,46,1.0652168162326212,285,3.596977164818182,5,4.943572385920547,10,4.69570087186724,20,10.097550294810528
8398,13.809202962242319,1,2.3924530878232018,46,0.9058815983205615,219,4.704798964554745,5,4.438414302328239,10,2.8292750413742924,20,8.235144455750751
8399,27.839539171655524,2,2.8137633758350287,13,0.44067743952997107,260,27.27253707872578,3,7.351518064363876,4,5.057323130276554,22,2.9902641131273886
8400,18.060685468806806,1,2.0945476362911117,51,0.4430447834261867,96,8.537355499340956,5,5.663503384058031,10,2.3930737041145465,20,3.3453788553967776
8401,13.047654777492255,1,0.8786416438591375,46,1.594372923898314,95,5.583358663008614,5,7.0582585894536685,10,5.317360640963001,20,10.572414059855552
8402,22.63545384351098,1,0.7500167146982771,45,1.1062146303216658,130,14.261430067509366,5,3.8385752929333306,12,1.8340369411790975,10,4.103969778170574
8403,11.23256132891882,2,0.6995684841255618,42,0.5280262902437485,315,2.4275670163199714,3,6.41747321159992,7,1.5062458316230216,9,3.103571611783402
8404,4.033568790698281,2,1.2285775720280396,4,1.079512883361174,52,5.454788343876258,4,7.358089195522547,7,4.319823155024217,8,14.15212594152655
8405,9.878333611658483,1,1.9320853540948784,21,0.5202640946720001,312,3.415829708526247,5,6.516991075814527,10,4.867138069208034,19,12.686027694121067
8406,19.433892952324822,1,2.967137129873292,51,0.08113781859107688,263,9.909618797035607,5,6.8857660492518065,10,3.5926378266107424,20,1.9620745551171115
8407,10.764077106245061,1,1.2870974976555163,32,1.873423127152593,298,16.79708385030437,1,14.656317691946246,11,11.321079141219428,17,30.77438799724234
8408,20.13021905219214,1,1.6695282918325443,66,2.010280159090507,4,21.588913300667333,5,13.150496148352985,13,14.686154104632076,17,26.52988804858429
8409,10.244795728586933,1,1.29532144073092,21,0.7710331677017185,312,4.033850297756895,5,6.975944450203551,10,5.507009448214306,19,12.759292446062068
8410,2.3198168457066517,2,1.5321388429256042,27,1.6959788753093663,40,3.9069692944297523,4,2.977844041952748,7,3.33465303002182,8,10.067703850890558
8411,10.499593352117012,2,2.5103670397830915,8,1.1668407354426673,290,8.922698507523403,1,12.59239274232423,5,10.249630371039919,2,22.213388470362172
8412,28.028532669840416,1,2.881913212800043,60,1.7078611431927073,111,21.008791921663146,5,0.8334287737961968,14,1.1227114948377517,14,5.914447266818914
8413,8.409318410592356,1,0.8600810739769124,30,0.8669524176967743,295,3.3099340657015324,1,5.1044501347405165,9,2.569942556857307,26,13.623656903220198
